,Response_Date,Day,Response_Time,Week,Time_Bucket,Agency_Type,Incident_Type,Problem,Cross_Street_Inter,Latitude,Longitude,Primary Police Dept,Place Name Census,General_Location
75,2022-01-18,Tuesday,14:14,3,4,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,N Lakewood Gardens Ln at Fuller Dr,43.100623,-89.366492,MADT-Madison Town,Maple Bluff,Interior
76,2022-01-18,Tuesday,15:59,3,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Lakewood Blvd  at  Roxbury Rd,43.107723,-89.366864,MAPV-Maple Bluff Village,Maple Bluff,Interior
77,2022-01-18,Tuesday,19:52,3,5,Law Enforcement,D-Delta-Law,Traffic Complaint,N Sherman Ave  at  Aberg Ave,43.114241,-89.363788,MADC-Madison City,Madison,Outside
78,2022-01-19,Wednesday,00:03,3,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Aberg Ave,43.114241,-89.363788,MADC-Madison City,Madison,Outside
79,2022-01-19,Wednesday,00:55,3,1,Law Enforcement,C-Charlie-Law,Check Person,Roxbury Rd at Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Interior
80,2022-01-19,Wednesday,10:47,3,3,Law Enforcement,D-Delta-Law,Alarm,Wilder Dr at Butternut Rd,43.114467,-89.378075,MAPV-Maple Bluff Village,Maple Bluff,Interior
81,2022-01-19,Wednesday,15:10,3,4,Law Enforcement,O-Omega-Law,Information (Law),E Johnson St  at  N Second St,43.095769,-89.360241,MADC-Madison City,Madison,Outside
82,2022-01-19,Wednesday,20:15,3,6,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,McGuire St at Northfield Pl,43.102717,-89.363565,MADC-Madison City,Madison,Outside
83,2022-01-19,Wednesday,22:15,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Huxley St at Loftsgordon Ave,43.112869,-89.358882,MADC-Madison City,Madison,Outside
84,2022-01-19,Wednesday,22:55,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Marston Ave,43.090012,-89.368416,MADC-Madison City,Madison,Outside
85,2022-01-20,Thursday,00:49,3,1,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Michigan Ct,43.105076,-89.363942,MAPV-Maple Bluff Village,Maple Bluff,Edge
86,2022-01-20,Thursday,00:50,3,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Aberg Ave  at  Packers Ave,43.113167,-89.354339,MADC-Madison City,Madison,Outside
87,2022-01-20,Thursday,00:59,3,1,Law Enforcement,B-Bravo-Law,Ac-Assist Citizen,Commercial Ave  at  Pennsylvania Ave,43.106837,-89.357811,MADC-Madison City,Madison,Outside
88,2022-01-20,Thursday,04:23,3,2,Law Enforcement,B-Bravo-Law,Traffic Stop,E Gorham St  at  N Brearly St,43.086358,-89.375262,MADC-Madison City,Madison,Outside
89,2022-01-20,Thursday,06:04,3,2,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Roxbury Rd,43.107673,-89.365189,MAPV-Maple Bluff Village,Maple Bluff,Edge
90,2022-01-20,Thursday,16:50,3,5,Law Enforcement,D-Delta-Law,Alarm,Wilder Dr at Coleman Rd,43.115041,-89.373627,MAPV-Maple Bluff Village,Maple Bluff,Interior
91,2022-01-20,Thursday,17:09,3,5,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Windom Way at Northport Dr,43.129106,-89.358931,MADC-Madison City,Madison,Outside
92,2022-01-20,Thursday,23:09,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Lakewood Blvd,43.104391,-89.363959,MAPV-Maple Bluff Village,Madison,Outside
93,2022-01-21,Friday,01:05,3,1,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,School Rd at Barby Ln,43.142986,-89.381194,MADC-Madison City,Madison,Outside
94,2022-01-21,Friday,09:03,3,3,Law Enforcement,O-Omega-Law,Information (Law),Lakewood Blvd at Charing Cross Rd,43.110962,-89.369111,MAPV-Maple Bluff Village,Maple Bluff,Interior
95,2022-01-21,Friday,16:31,3,5,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Green Ave  at  Knutson Dr,43.136341,-89.39788,MADC-Madison City,Madison,Outside
96,2022-01-21,Friday,20:16,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,E Johnson St  at  Fordem Ave,43.093294,-89.363614,MADC-Madison City,Madison,Outside
97,2022-01-21,Friday,20:47,3,6,Ems Fire,Fire - Bravo,52B1C-Alarm /Snglresidentco,Summit Rd at McBride Rd,43.115966,-89.3769,MAPV-Maple Bluff Village,Maple Bluff,Interior
98,2022-01-21,Friday,20:49,3,6,Law Enforcement,D-Delta-Law,Afd-Assist Fire Department,Summit Rd at McBride Rd,43.115966,-89.3769,MAPV-Maple Bluff Village,Maple Bluff,Interior
99,2022-01-21,Friday,22:23,3,6,Law Enforcement,C-Charlie-Law,Suspicious Vehicle,Fisk Pl at Farwell Dr,43.113738,-89.372126,MAPV-Maple Bluff Village,Maple Bluff,Interior
100,2022-01-22,Saturday,00:01,3,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Schlimgen Ave  at  N Sherman Ave,43.12663,-89.363576,MADC-Madison City,Madison,Outside
101,2022-01-22,Saturday,02:07,3,1,Law Enforcement,B-Bravo-Law,Burglary-Residence,Bayside Dr at Roxbury Rd,43.102809,-89.366918,MAPV-Maple Bluff Village,Madison,Outside
102,2022-01-22,Saturday,19:59,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
103,2022-01-22,Saturday,21:12,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
104,2022-01-22,Saturday,23:13,3,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Edge
105,2022-01-23,Sunday,01:27,3,1,Law Enforcement,C-Charlie-Law,Disabled Vehicle,Packers Ave  at  Scott Ln,43.133007,-89.355352,MADC-Madison City,Madison,Outside
106,2022-01-23,Sunday,08:06,3,3,Law Enforcement,A-Alpha-Law,Street Parking,Lakewood Blvd  at  Cambridge Rd,43.109773,-89.367587,MAPV-Maple Bluff Village,Maple Bluff,Interior
107,2022-01-23,Sunday,11:03,3,3,Law Enforcement,D-Delta-Law,Alarm,Woodland Cir at Lakewood Blvd,43.110566,-89.368597,MAPV-Maple Bluff Village,Maple Bluff,Interior
108,2022-01-23,Sunday,11:52,3,3,Law Enforcement,D-Delta-Law,Alarm,Woodland Cir at Lakewood Blvd,43.110566,-89.368597,MAPV-Maple Bluff Village,Maple Bluff,Interior
109,2022-01-23,Sunday,18:03,3,5,Law Enforcement,A-Alpha-Law,Street Parking,Cambridge Rd at Kensington Dr,43.108498,-89.368549,MAPV-Maple Bluff Village,Maple Bluff,Interior
110,2022-01-24,Monday,15:22,4,4,Law Enforcement,O-Omega-Law,Information (Law),Carioca Ln at Trailsway,43.122707,-89.36616,MADC-Madison City,Madison,Outside
111,2022-01-25,Tuesday,09:56,4,3,Law Enforcement,D-Delta-Law,Alarm,Lakewood Blvd at Charing Cross Rd,43.110962,-89.369111,MAPV-Maple Bluff Village,Maple Bluff,Interior
112,2022-01-25,Tuesday,14:05,4,4,Law Enforcement,C-Charlie-Law,Accident-No Injury,Harbort Dr at Burrows Rd,43.102809,-89.366919,MADC-Madison City,Maple Bluff,Interior
113,2022-01-25,Tuesday,19:39,4,5,Ems Fire,.All Emd Calls,.Pre-Alert Emd (Medical) Call,Roxbury Rd at Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Interior
114,2022-01-26,Wednesday,17:51,4,5,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Logan St,43.116411,-89.364966,MADC-Madison City,Madison,Outside
115,2022-01-26,Wednesday,20:04,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Schlimgen Ave,43.12663,-89.363576,MADC-Madison City,Madison,Outside
116,2022-01-26,Wednesday,20:05,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  S Lakewood Gardens Ln,43.104391,-89.363959,MAPV-Maple Bluff Village,Madison,Outside
117,2022-01-26,Wednesday,23:15,4,6,Law Enforcement,B-Bravo-Law,Arrested Adult,Commercial Ave  at  Superior St,43.106815,-89.362877,MAPV-Maple Bluff Village,Maple Bluff,Interior
118,2022-01-27,Thursday,14:43,4,4,Law Enforcement,B-Bravo-Law,Burglary-Residence,McGuire St at Harbort Dr,43.101717,-89.365921,MAPV-Maple Bluff Village,Madison,Outside
119,2022-01-27,Thursday,17:49,4,5,Law Enforcement,B-Bravo-Law,Ac-Assist Citizen,Fisk Pl at Farwell Dr,43.113738,-89.372126,MAPV-Maple Bluff Village,Maple Bluff,Interior
120,2022-01-27,Thursday,17:55,4,5,Law Enforcement,A-Alpha-Law,Animal-General/Stray,Farwell Dr  at  Wilder Dr,43.113867,-89.373646,MAPV-Maple Bluff Village,Maple Bluff,Interior
121,2022-01-27,Thursday,19:51,4,5,Law Enforcement,D-Delta-Law,Aoa-Assist Other Agency,Reindahl Ave at Schmedeman Ave,43.114325,-89.328604,MADC-Madison City,Madison,Outside
122,2022-01-27,Thursday,20:38,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Fuller Dr,43.098248,-89.368252,MAPV-Maple Bluff Village,Maple Bluff,Edge
123,2022-01-27,Thursday,20:50,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Fordem Ave  at  N Lakewood Gardens Ln,43.098124,-89.364115,MADT-Madison Town,Madison,Outside
124,2022-01-27,Thursday,21:23,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Kensington Dr,43.107673,-89.365189,MAPV-Maple Bluff Village,Maple Bluff,Edge
125,2022-01-27,Thursday,22:10,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Mcguire St,43.09866,-89.367328,MAPV-Maple Bluff Village,Maple Bluff,Edge
126,2022-01-27,Thursday,22:43,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Logan St,43.116411,-89.364966,MADC-Madison City,Madison,Outside
127,2022-01-28,Friday,01:46,4,1,Law Enforcement,C-Charlie-Law,Check Property,Roxbury Rd at Oxford Pl,43.109505,-89.363857,MAPV-Maple Bluff Village,Maple Bluff,Interior
128,2022-01-28,Friday,01:56,4,1,Law Enforcement,C-Charlie-Law,Check Property,Commercial Ave at Roxbury Rd,43.106801,-89.363898,MAPV-Maple Bluff Village,Madison,Outside
129,2022-01-28,Friday,02:15,4,1,Law Enforcement,B-Bravo-Law,Traffic Stop,Cambridge Ct at Lakewood Blvd,43.109773,-89.367587,MAPV-Maple Bluff Village,Maple Bluff,Interior
130,2022-01-28,Friday,10:57,4,3,Law Enforcement,O-Omega-Law,Information (Law),N Seventh St at North St,43.136269,-89.347319,MADC-Madison City,Madison,Outside
131,2022-01-28,Friday,15:08,4,4,Law Enforcement,B-Bravo-Law,Traffic Stop,Commercial Ave  at  Pennsylvania Ave,43.106837,-89.357811,MADC-Madison City,Madison,Outside
132,2022-01-28,Friday,15:26,4,4,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Roth St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
133,2022-01-28,Friday,15:44,4,4,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave  at  Erie Ct,43.103358,-89.363992,MAPV-Maple Bluff Village,Maple Bluff,Edge
134,2022-01-28,Friday,15:59,4,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  N Lakewood Gardens Ln,43.104391,-89.363959,MADT-Madison Town,Madison,Outside
135,2022-01-28,Friday,16:25,4,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Sherman Ave  at  Marston Ave,43.090012,-89.368416,MADC-Madison City,Madison,Outside
136,2022-01-28,Friday,19:19,4,5,Law Enforcement,B-Bravo-Law,Traffic Stop,Mcbride Rd  at  Newcastle Way,43.116946,-89.3769,MAPV-Maple Bluff Village,Maple Bluff,Interior
137,2022-01-29,Saturday,00:21,4,1,Law Enforcement,B-Bravo-Law,Traffic Stop,E Johnson St  at  Fordem Ave,43.093294,-89.363614,MADC-Madison City,Madison,Outside
138,2022-01-29,Saturday,23:11,4,6,Law Enforcement,B-Bravo-Law,Traffic Stop,N Sherman Ave at Roth St,43.111598,-89.3638,MADC-Madison City,Madison,Outside
